text,intent
my area has a problem,NEEDS_CLARIFICATION
change the location,CORRECTION
street lights have been off for 5 nights in model town,CIVIC_GRIEVANCE
overflowing waste bin in saket,CIVIC_GRIEVANCE
our taps are dry since monday,CIVIC_GRIEVANCE
sab badhiya,CASUAL_CONVERSATION
yes submit,CONFIRMATION
water has not come for 3 days in model town,CIVIC_GRIEVANCE
can you help me,CAPABILITIES
na,DENIAL
hi bot,GREETING
thank you,THANKS
रस्त्यावरील दिवा चालू नाही,CIVIC_GRIEVANCE
our taps are dry since this morning,CIVIC_GRIEVANCE
huge deep potholes on the main road in vasant kunj,CIVIC_GRIEVANCE
what is 2 plus 2,OUT_OF_SCOPE
there is a water problem,NEEDS_CLARIFICATION
namaste ji,GREETING
what is 2 plus 2,OUT_OF_SCOPE
bahut dhanyawad,THANKS
what are you,CAPABILITIES
হাই,GREETING
transformer is sparking violently near vasant kunj,CIVIC_GRIEVANCE
nevermind,DENIAL
what is the weather today,OUT_OF_SCOPE
nali overflow kar rahi hai vasant kunj me,CIVIC_GRIEVANCE
okay,CONFIRMATION
drainage gutter overflow flooding road in sector 17,CIVIC_GRIEVANCE
தெருவிளக்கு வேலை செய்யவில்லை,CIVIC_GRIEVANCE
options,CAPABILITIES
hi,GREETING
who won the match,OUT_OF_SCOPE
रस्त्यावरील दिवा चालू नाही,CIVIC_GRIEVANCE
hello sir there is a water pipe leaking on the road in civil lines,CIVIC_GRIEVANCE
water has not come for 4 days in saket,CIVIC_GRIEVANCE
thanks,THANKS
helo,GREETING
thankyou,THANKS
edit details,CORRECTION
problem in our area,NEEDS_CLARIFICATION
hello sir,GREETING
open manhole on road near model town,CIVIC_GRIEVANCE
thanks,THANKS
thankyou,THANKS
about,CAPABILITIES
submit it,CONFIRMATION
there is a problem,NEEDS_CLARIFICATION
bijli 6 ghante se nahi hai model town me,CIVIC_GRIEVANCE
వీధి దీపం పనిచేయడం లేదు,CIVIC_GRIEVANCE
what services do you offer,CAPABILITIES
hello,GREETING
okay,CONFIRMATION
footpath tiles are broken near railway station road,CIVIC_GRIEVANCE
தெருவிளக்கு வேலை செய்யவில்லை,CIVIC_GRIEVANCE
can you book a hotel,OUT_OF_SCOPE
waterlogging in sector 17 after light rain,CIVIC_GRIEVANCE
great thanks,THANKS
no the location is wrong,CORRECTION
not correct,DENIAL
movie tickets,OUT_OF_SCOPE
i am fine but the pipeline outside my house in vasant kunj is leaking,CIVIC_GRIEVANCE
good afternoon,GREETING
about,CAPABILITIES
who are you,CAPABILITIES
హలో,GREETING
xyz123,OUT_OF_SCOPE
namaskar,GREETING
nali overflow kar rahi hai karol bagh me,CIVIC_GRIEVANCE
what can you do,CAPABILITIES
street light band hai railway station road me,CIVIC_GRIEVANCE
thank you sir,THANKS
yep,CONFIRMATION
incorrect,DENIAL
नमस्ते,GREETING
हॅलो,GREETING
proceed,CONFIRMATION
shukriya,THANKS
hey buddy,GREETING
go ahead,CONFIRMATION
water pipeline is leaking near saket,CIVIC_GRIEVANCE
transformer is sparking violently near saket,CIVIC_GRIEVANCE
what are you,CAPABILITIES
i am fine so the problem is that there is a road on that road there is a pipe leaking,CIVIC_GRIEVANCE
ha,CONFIRMATION
fogging required urgently in railway station road,CIVIC_GRIEVANCE
hello bot,GREETING
who are you,CAPABILITIES
আমাদের এলাকায় জল আসছে না,CIVIC_GRIEVANCE
waterlogging in model town after light rain,CIVIC_GRIEVANCE
how does this work,CAPABILITIES
testing 123,OUT_OF_SCOPE
எங்கள் பகுதியில் தண்ணீர் வரவில்லை,CIVIC_GRIEVANCE
no thanks,DENIAL
what's up,CASUAL_CONVERSATION
వీధి దీపం పనిచేయడం లేదు,CIVIC_GRIEVANCE
testing 123,OUT_OF_SCOPE
no don't,DENIAL
hello,GREETING
power has been out in railway station road for 2 hours,CIVIC_GRIEVANCE
what are you,CAPABILITIES
आमच्या भागात पाणी येत नाही,CIVIC_GRIEVANCE
मेरे इलाके में बिजली नहीं आ रही है,CIVIC_GRIEVANCE
হ্যালো,GREETING
there is no water supply in railway station road,CIVIC_GRIEVANCE
మా ప్రాంతంలో నీరు రావడం లేదు,CIVIC_GRIEVANCE
info,CAPABILITIES
hello bot,GREETING
traffic signal lights not working at saket intersection,CIVIC_GRIEVANCE
problem in our area,NEEDS_CLARIFICATION
हमारे मोहल्ले में पानी नहीं आ रहा है,CIVIC_GRIEVANCE
good morning,GREETING
garbage has not been collected from sector 17 for 4 days,CIVIC_GRIEVANCE
category wrong hai,CORRECTION
random stuff,OUT_OF_SCOPE
hamare area railway station road me paani nahi aa raha hai,CIVIC_GRIEVANCE
footpath tiles are broken near civil lines,CIVIC_GRIEVANCE
nah,DENIAL
live electrical wire dangling dangerously near karol bagh,CIVIC_GRIEVANCE
cancel,DENIAL
footpath tiles are broken near model town,CIVIC_GRIEVANCE
how does this work,CAPABILITIES
haan,CONFIRMATION
my area has a problem,NEEDS_CLARIFICATION
road ki condition bahut kharab hai vasant kunj me,CIVIC_GRIEVANCE
issue in my locality,NEEDS_CLARIFICATION
good afternoon,GREETING
thanks,THANKS
nali overflow kar rahi hai vasant kunj me,CIVIC_GRIEVANCE
good morning,GREETING
hi bot,GREETING
kaise ho,CASUAL_CONVERSATION
edit details,CORRECTION
i am fine but the pipeline outside my house in karol bagh is leaking,CIVIC_GRIEVANCE
okay thanks,THANKS
thank you so much,THANKS
good morning,GREETING
hamare area model town me paani nahi aa raha hai,CIVIC_GRIEVANCE
kaise madad karoge,CAPABILITIES
yes submit,CONFIRMATION
our taps are dry since last night,CIVIC_GRIEVANCE
hey,GREETING
electric problem,NEEDS_CLARIFICATION
shukriya,THANKS
asdfghjkl,OUT_OF_SCOPE
no,DENIAL
blabla,OUT_OF_SCOPE
आमच्या भागात पाणी येत नाही,CIVIC_GRIEVANCE
how does this work,CAPABILITIES
नमस्कार,GREETING
options,CAPABILITIES
power has been out in karol bagh for 2 hours,CIVIC_GRIEVANCE
আমাদের এলাকায় জল আসছে না,CIVIC_GRIEVANCE
रस्त्यावरील दिवा चालू नाही,CIVIC_GRIEVANCE
help,CAPABILITIES
nali overflow kar rahi hai model town me,CIVIC_GRIEVANCE
good morning,GREETING
হ্যালো,GREETING
good evening,GREETING
how can you help,CAPABILITIES
what is 2 plus 2,OUT_OF_SCOPE
hi,GREETING
sahi hai,CONFIRMATION
fogging required urgently in vasant kunj,CIVIC_GRIEVANCE
నమస్తే,GREETING
traffic signal lights not working at saket intersection,CIVIC_GRIEVANCE
i am fine but the pipeline outside my house in karol bagh is leaking,CIVIC_GRIEVANCE
good evening,GREETING
వీధి దీపం పనిచేయడం లేదు,CIVIC_GRIEVANCE
yes that's correct,CONFIRMATION
power has been out in saket for 5 hours,CIVIC_GRIEVANCE
nope,DENIAL
stagnant water pool near model town causing mosquito breeding,CIVIC_GRIEVANCE
stagnant water pool near civil lines causing mosquito breeding,CIVIC_GRIEVANCE
issue in my locality,NEEDS_CLARIFICATION
hii,GREETING
garbage has not been collected from railway station road for 2 days,CIVIC_GRIEVANCE
aap kaise ho,CASUAL_CONVERSATION
traffic signal lights not working at sector 17 intersection,CIVIC_GRIEVANCE
ஹலோ,GREETING
road ki condition bahut kharab hai saket me,CIVIC_GRIEVANCE
cancel,DENIAL
yep,CONFIRMATION
yes submit,CONFIRMATION
nali overflow kar rahi hai railway station road me,CIVIC_GRIEVANCE
road ki condition bahut kharab hai vasant kunj me,CIVIC_GRIEVANCE
haye,GREETING
what are you,CAPABILITIES
correct,CONFIRMATION
go ahead,CONFIRMATION
i need a doctor,OUT_OF_SCOPE
cancel,DENIAL
movie tickets,OUT_OF_SCOPE
na,DENIAL
random stuff,OUT_OF_SCOPE
namaskar,GREETING
i am fine but the pipeline outside my house in saket is leaking,CIVIC_GRIEVANCE
nah,DENIAL
hello assistant,GREETING
xyz123,OUT_OF_SCOPE
huge pile of uncollected trash dumped near model town,CIVIC_GRIEVANCE
awesome thanks,THANKS
yes that's correct,CONFIRMATION
there is no water supply in sector 17,CIVIC_GRIEVANCE
waterlogging in railway station road after light rain,CIVIC_GRIEVANCE
వీధి దీపం పనిచేయడం లేదు,CIVIC_GRIEVANCE
what is your purpose,CAPABILITIES
dhanyawad,THANKS
shukriya,THANKS
perfect thanks,THANKS
helo,GREETING
nevermind,DENIAL
yeah,CONFIRMATION
stagnant water pool near sector 17 causing mosquito breeding,CIVIC_GRIEVANCE
namaste,GREETING
info,CAPABILITIES
go ahead,CONFIRMATION
hey,GREETING
hello how are you,CASUAL_CONVERSATION
open manhole on road near vasant kunj,CIVIC_GRIEVANCE
footpath tiles are broken near vasant kunj,CIVIC_GRIEVANCE
hey,GREETING
hey assistant,GREETING
thank you so much,THANKS
aap kaise ho,CASUAL_CONVERSATION
தெருவிளக்கு வேலை செய்யவில்லை,CIVIC_GRIEVANCE
আমাদের এলাকায় জল আসছে না,CIVIC_GRIEVANCE
huge deep potholes on the main road in saket,CIVIC_GRIEVANCE
hi sir,GREETING
dark street near model town creating safety risk,CIVIC_GRIEVANCE
sab badhiya,CASUAL_CONVERSATION
that's wrong,DENIAL
electric problem,NEEDS_CLARIFICATION
hello assistant,GREETING
transformer is sparking violently near saket,CIVIC_GRIEVANCE
na,DENIAL
dark street near sector 17 creating safety risk,CIVIC_GRIEVANCE
transformer is sparking violently near sector 17,CIVIC_GRIEVANCE
ok,CONFIRMATION
fogging required urgently in civil lines,CIVIC_GRIEVANCE
nali overflow kar rahi hai railway station road me,CIVIC_GRIEVANCE
हमारे मोहल्ले में पानी नहीं आ रहा है,CIVIC_GRIEVANCE
overflowing waste bin in saket,CIVIC_GRIEVANCE
kaise madad karoge,CAPABILITIES
thankyou,THANKS
garbage has not been collected from vasant kunj for 5 days,CIVIC_GRIEVANCE
waterlogging in civil lines after light rain,CIVIC_GRIEVANCE
category wrong hai,CORRECTION
हमारे मोहल्ले में पानी नहीं आ रहा है,CIVIC_GRIEVANCE
no don't,DENIAL
हमारे मोहल्ले में पानी नहीं आ रहा है,CIVIC_GRIEVANCE
how can you help,CAPABILITIES
garbage has not been collected from sector 17 for 3 days,CIVIC_GRIEVANCE
మా ప్రాంతంలో నీరు రావడం లేదు,CIVIC_GRIEVANCE
road ki condition bahut kharab hai civil lines me,CIVIC_GRIEVANCE
there is some civic issue,NEEDS_CLARIFICATION
traffic signal lights not working at karol bagh intersection,CIVIC_GRIEVANCE
হাই,GREETING
hello bot,GREETING
hey there,GREETING
మా ప్రాంతంలో నీరు రావడం లేదు,CIVIC_GRIEVANCE
street lights have been off for 2 nights in civil lines,CIVIC_GRIEVANCE
okay,CONFIRMATION
huge deep potholes on the main road in karol bagh,CIVIC_GRIEVANCE
kachra 4 din se nahi uthaya gaya hai karol bagh se,CIVIC_GRIEVANCE
hamare area sector 17 me paani nahi aa raha hai,CIVIC_GRIEVANCE
no,DENIAL
आमच्या भागात पाणी येत नाही,CIVIC_GRIEVANCE
water pipeline is leaking near vasant kunj,CIVIC_GRIEVANCE
தெருவிளக்கு வேலை செய்யவில்லை,CIVIC_GRIEVANCE
tell me about yourself,CAPABILITIES
xyz123,OUT_OF_SCOPE
मेरे इलाके में बिजली नहीं आ रही है,CIVIC_GRIEVANCE
i am fine but the pipeline outside my house in railway station road is leaking,CIVIC_GRIEVANCE
something wrong near my house,NEEDS_CLARIFICATION
that's wrong,DENIAL
road problem,NEEDS_CLARIFICATION
how does this work,CAPABILITIES
yes that's correct,CONFIRMATION
i am fine but the pipeline outside my house in sector 17 is leaking,CIVIC_GRIEVANCE
what is the capital of france,OUT_OF_SCOPE
live electrical wire dangling dangerously near civil lines,CIVIC_GRIEVANCE
drainage gutter overflow flooding road in sector 17,CIVIC_GRIEVANCE
good morning bot,GREETING
yes please,CONFIRMATION
street lights have been off for 4 nights in karol bagh,CIVIC_GRIEVANCE
i am fine so the problem is that there is a road on that road there is a pipe leaking,CIVIC_GRIEVANCE
i am fine but the pipeline outside my house in railway station road is leaking,CIVIC_GRIEVANCE
what's up,CASUAL_CONVERSATION
bijli 6 ghante se nahi hai railway station road me,CIVIC_GRIEVANCE
what features do you have,CAPABILITIES
aap kya karte ho,CAPABILITIES
no the location is wrong,CORRECTION
street lights have been off for 4 nights in saket,CIVIC_GRIEVANCE
footpath tiles are broken near saket,CIVIC_GRIEVANCE
dirty contaminated water coming from tap in sector 17,CIVIC_GRIEVANCE
hello sir there is a water pipe leaking on the road in civil lines,CIVIC_GRIEVANCE
sure,CONFIRMATION
stagnant water pool near karol bagh causing mosquito breeding,CIVIC_GRIEVANCE
who are you,CAPABILITIES
water pipeline is leaking near saket,CIVIC_GRIEVANCE
helo,GREETING
water pipeline is leaking near model town,CIVIC_GRIEVANCE
there is a water problem,NEEDS_CLARIFICATION
electric problem,NEEDS_CLARIFICATION
okay,CONFIRMATION
transformer is sparking violently near railway station road,CIVIC_GRIEVANCE
আমাদের এলাকায় জল আসছে না,CIVIC_GRIEVANCE
live electrical wire dangling dangerously near karol bagh,CIVIC_GRIEVANCE
what is your purpose,CAPABILITIES
i am good,CASUAL_CONVERSATION
tum kaun ho,CAPABILITIES
hello how are you,CASUAL_CONVERSATION
hamare area saket me paani nahi aa raha hai,CIVIC_GRIEVANCE
রাস্তার আলো কাজ করছে না,CIVIC_GRIEVANCE
can you help me,CAPABILITIES
stop,DENIAL
nah,DENIAL
how is it going,CASUAL_CONVERSATION
hiii,GREETING
something wrong near my house,NEEDS_CLARIFICATION
dark street near karol bagh creating safety risk,CIVIC_GRIEVANCE
what is your purpose,CAPABILITIES
street lights have been off for 3 nights in model town,CIVIC_GRIEVANCE
issue in my locality,NEEDS_CLARIFICATION
నమస్తే,GREETING
नमस्ते,GREETING
great thanks,THANKS
thanks a lot,THANKS
i want to change the details,CORRECTION
all good,CASUAL_CONVERSATION
what is your purpose,CAPABILITIES
overflowing waste bin in sector 17,CIVIC_GRIEVANCE
hey,GREETING
water issue,NEEDS_CLARIFICATION
waterlogging in sector 17 after light rain,CIVIC_GRIEVANCE
the road near sector 17 is completely broken and damaged,CIVIC_GRIEVANCE
हमारे मोहल्ले में पानी नहीं आ रहा है,CIVIC_GRIEVANCE
road ki condition bahut kharab hai vasant kunj me,CIVIC_GRIEVANCE
not correct,DENIAL
garbage has not been collected from saket for 2 days,CIVIC_GRIEVANCE
yes,CONFIRMATION
stop,DENIAL
আমাদের এলাকায় জল আসছে না,CIVIC_GRIEVANCE
there is no water supply in karol bagh,CIVIC_GRIEVANCE
huge pile of uncollected trash dumped near karol bagh,CIVIC_GRIEVANCE
nahi,DENIAL
what services do you offer,CAPABILITIES
perfect thanks,THANKS
footpath tiles are broken near karol bagh,CIVIC_GRIEVANCE
huge pile of uncollected trash dumped near sector 17,CIVIC_GRIEVANCE
haye,GREETING
i'm fine,CASUAL_CONVERSATION
water issue,NEEDS_CLARIFICATION
footpath tiles are broken near civil lines,CIVIC_GRIEVANCE
location change karo,CORRECTION
yes submit,CONFIRMATION
drainage gutter overflow flooding road in vasant kunj,CIVIC_GRIEVANCE
मेरे इलाके में बिजली नहीं आ रही है,CIVIC_GRIEVANCE
kachra 4 din se nahi uthaya gaya hai vasant kunj se,CIVIC_GRIEVANCE
that's wrong,DENIAL
category wrong hai,CORRECTION
i need a doctor,OUT_OF_SCOPE
रस्त्यावरील दिवा चालू नाही,CIVIC_GRIEVANCE
road ki condition bahut kharab hai model town me,CIVIC_GRIEVANCE
street light band hai civil lines me,CIVIC_GRIEVANCE
i'm good,CASUAL_CONVERSATION
नमस्ते,GREETING
வணக்கம்,GREETING
that's not the category,CORRECTION
hii,GREETING
options,CAPABILITIES
aap kya karte ho,CAPABILITIES
हॅलो,GREETING
the road near vasant kunj is completely broken and damaged,CIVIC_GRIEVANCE
thanks bot,THANKS
వీధి దీపం పనిచేయడం లేదు,CIVIC_GRIEVANCE
options,CAPABILITIES
stagnant water pool near vasant kunj causing mosquito breeding,CIVIC_GRIEVANCE
footpath tiles are broken near railway station road,CIVIC_GRIEVANCE
live electrical wire dangling dangerously near saket,CIVIC_GRIEVANCE
hey there,GREETING
nali overflow kar rahi hai vasant kunj me,CIVIC_GRIEVANCE
water has not come for 2 days in vasant kunj,CIVIC_GRIEVANCE
there is some civic issue,NEEDS_CLARIFICATION
movie tickets,OUT_OF_SCOPE
thanks bot,THANKS
what is this,CAPABILITIES
something wrong near my house,NEEDS_CLARIFICATION
hello there,GREETING
i am good,CASUAL_CONVERSATION
road problem,NEEDS_CLARIFICATION
hellooo,GREETING
that is not my problem,DENIAL
open manhole on road near vasant kunj,CIVIC_GRIEVANCE
how are you,CASUAL_CONVERSATION
fogging required urgently in vasant kunj,CIVIC_GRIEVANCE
bilkul,CONFIRMATION
tum kaun ho,CAPABILITIES
problem in our area,NEEDS_CLARIFICATION
change priority,CORRECTION
yes,CONFIRMATION
হাই,GREETING
ஹலோ,GREETING
there is a water problem,NEEDS_CLARIFICATION
hey there,GREETING
info,CAPABILITIES
hello how are you,CASUAL_CONVERSATION
our taps are dry since this morning,CIVIC_GRIEVANCE
i'm good,CASUAL_CONVERSATION
good evening,GREETING
wrong department,CORRECTION
hi sir,GREETING
మా ప్రాంతంలో నీరు రావడం లేదు,CIVIC_GRIEVANCE
change priority,CORRECTION
what is 2 plus 2,OUT_OF_SCOPE
bijli 6 ghante se nahi hai model town me,CIVIC_GRIEVANCE
incorrect,DENIAL
live electrical wire dangling dangerously near civil lines,CIVIC_GRIEVANCE
మా ప్రాంతంలో నీరు రావడం లేదు,CIVIC_GRIEVANCE
dhanyawad,THANKS
what is the weather today,OUT_OF_SCOPE
traffic signal lights not working at model town intersection,CIVIC_GRIEVANCE
the road near model town is completely broken and damaged,CIVIC_GRIEVANCE
sab badhiya,CASUAL_CONVERSATION
i am fine but the pipeline outside my house in sector 17 is leaking,CIVIC_GRIEVANCE
नमस्कार,GREETING
okay thanks,THANKS
the road near civil lines is completely broken and damaged,CIVIC_GRIEVANCE
open manhole on road near railway station road,CIVIC_GRIEVANCE
aap kaun ho,CAPABILITIES
i am fine so the problem is that there is a road on that road there is a pipe leaking,CIVIC_GRIEVANCE
kachra 4 din se nahi uthaya gaya hai civil lines se,CIVIC_GRIEVANCE
bijli 6 ghante se nahi hai civil lines me,CIVIC_GRIEVANCE
testing 123,OUT_OF_SCOPE
location is incorrect,CORRECTION
no don't,DENIAL
हॅलो,GREETING
stagnant water pool near civil lines causing mosquito breeding,CIVIC_GRIEVANCE
i am fine so the problem is that there is a road on that road there is a pipe leaking,CIVIC_GRIEVANCE
about,CAPABILITIES
मेरे इलाके में बिजली नहीं आ रही है,CIVIC_GRIEVANCE
problem in our area,NEEDS_CLARIFICATION
water has not come for 5 days in sector 17,CIVIC_GRIEVANCE
aap kaun ho,CAPABILITIES
namaste ji,GREETING
dark street near saket creating safety risk,CIVIC_GRIEVANCE
bijli 6 ghante se nahi hai railway station road me,CIVIC_GRIEVANCE
water pipeline is leaking near railway station road,CIVIC_GRIEVANCE
kachra 4 din se nahi uthaya gaya hai sector 17 se,CIVIC_GRIEVANCE
waterlogging in vasant kunj after light rain,CIVIC_GRIEVANCE
footpath tiles are broken near model town,CIVIC_GRIEVANCE
kaise madad karoge,CAPABILITIES
మా ప్రాంతంలో నీరు రావడం లేదు,CIVIC_GRIEVANCE
bahut dhanyawad,THANKS
मेरे इलाके में बिजली नहीं आ रही है,CIVIC_GRIEVANCE
hellooo,GREETING
footpath tiles are broken near railway station road,CIVIC_GRIEVANCE
water has not come for 2 days in vasant kunj,CIVIC_GRIEVANCE
can you help me,CAPABILITIES
எங்கள் பகுதியில் தண்ணீர் வரவில்லை,CIVIC_GRIEVANCE
bahut dhanyawad,THANKS
edit details,CORRECTION
hello there,GREETING
রাস্তার আলো কাজ করছে না,CIVIC_GRIEVANCE
change the location,CORRECTION
எங்கள் பகுதியில் தண்ணீர் வரவில்லை,CIVIC_GRIEVANCE
what features do you have,CAPABILITIES
go ahead,CONFIRMATION
yes that's correct,CONFIRMATION
incorrect,DENIAL
drainage gutter overflow flooding road in model town,CIVIC_GRIEVANCE
i want to change the details,CORRECTION
huge pile of uncollected trash dumped near karol bagh,CIVIC_GRIEVANCE
good evening,GREETING
what's up,CASUAL_CONVERSATION
water has not come for 3 days in vasant kunj,CIVIC_GRIEVANCE
haye,GREETING
water has not come for 5 days in railway station road,CIVIC_GRIEVANCE
नमस्कार,GREETING
perfect thanks,THANKS
problem in our area,NEEDS_CLARIFICATION
can you help me,CAPABILITIES
aap kaise ho,CASUAL_CONVERSATION
i am fine so the problem is that there is a road on that road there is a pipe leaking,CIVIC_GRIEVANCE
street light band hai sector 17 me,CIVIC_GRIEVANCE
tell me about yourself,CAPABILITIES
నమస్తే,GREETING
info,CAPABILITIES
random stuff,OUT_OF_SCOPE
tum kaun ho,CAPABILITIES
namaskar,GREETING
i'm fine,CASUAL_CONVERSATION
thanks a lot,THANKS
wrong department,CORRECTION
bijli 6 ghante se nahi hai saket me,CIVIC_GRIEVANCE
there is some civic issue,NEEDS_CLARIFICATION
ok,CONFIRMATION
na,DENIAL
water pipeline is leaking near karol bagh,CIVIC_GRIEVANCE
bijli 6 ghante se nahi hai karol bagh me,CIVIC_GRIEVANCE
dark street near saket creating safety risk,CIVIC_GRIEVANCE
confirm,CONFIRMATION
hello sir there is a water pipe leaking on the road in civil lines,CIVIC_GRIEVANCE
overflowing waste bin in vasant kunj,CIVIC_GRIEVANCE
garbage has not been collected from model town for 4 days,CIVIC_GRIEVANCE
kya kar sakte ho,CAPABILITIES
hi bot,GREETING
fogging required urgently in karol bagh,CIVIC_GRIEVANCE
what is the weather today,OUT_OF_SCOPE
i am fine,CASUAL_CONVERSATION
మా ప్రాంతంలో నీరు రావడం లేదు,CIVIC_GRIEVANCE
huge pile of uncollected trash dumped near model town,CIVIC_GRIEVANCE
change the location,CORRECTION
hi,GREETING
रस्त्यावरील दिवा चालू नाही,CIVIC_GRIEVANCE
live electrical wire dangling dangerously near karol bagh,CIVIC_GRIEVANCE
dirty contaminated water coming from tap in railway station road,CIVIC_GRIEVANCE
मेरे इलाके में बिजली नहीं आ रही है,CIVIC_GRIEVANCE
আমাদের এলাকায় জল আসছে না,CIVIC_GRIEVANCE
yes,CONFIRMATION
location change karo,CORRECTION
play music,OUT_OF_SCOPE
namaste,GREETING
தெருவிளக்கு வேலை செய்யவில்லை,CIVIC_GRIEVANCE
హలో,GREETING
sure,CONFIRMATION
what is this,CAPABILITIES
thanks,THANKS
incorrect,DENIAL
overflowing waste bin in model town,CIVIC_GRIEVANCE
namaste,GREETING
transformer is sparking violently near karol bagh,CIVIC_GRIEVANCE
play music,OUT_OF_SCOPE
yeah,CONFIRMATION
traffic signal lights not working at saket intersection,CIVIC_GRIEVANCE
wrong department,CORRECTION
there is no water supply in karol bagh,CIVIC_GRIEVANCE
drainage gutter overflow flooding road in vasant kunj,CIVIC_GRIEVANCE
ஹலோ,GREETING
आमच्या भागात पाणी येत नाही,CIVIC_GRIEVANCE
water issue,NEEDS_CLARIFICATION
who won the match,OUT_OF_SCOPE
all good,CASUAL_CONVERSATION
রাস্তার আলো কাজ করছে না,CIVIC_GRIEVANCE
yes please,CONFIRMATION
perfect thanks,THANKS
kachra 4 din se nahi uthaya gaya hai sector 17 se,CIVIC_GRIEVANCE
stop,DENIAL
my area has a problem,NEEDS_CLARIFICATION
i need a doctor,OUT_OF_SCOPE
what is this,CAPABILITIES
help me,CAPABILITIES
தெருவிளக்கு வேலை செய்யவில்லை,CIVIC_GRIEVANCE
bilkul,CONFIRMATION
హలో,GREETING
kachra 4 din se nahi uthaya gaya hai sector 17 se,CIVIC_GRIEVANCE
cricket score,OUT_OF_SCOPE
dark street near model town creating safety risk,CIVIC_GRIEVANCE
हॅलो,GREETING
namaste,GREETING
transformer is sparking violently near railway station road,CIVIC_GRIEVANCE
hamare area saket me paani nahi aa raha hai,CIVIC_GRIEVANCE
hamare area civil lines me paani nahi aa raha hai,CIVIC_GRIEVANCE
road ki condition bahut kharab hai saket me,CIVIC_GRIEVANCE
electric problem,NEEDS_CLARIFICATION
मेरे इलाके में बिजली नहीं आ रही है,CIVIC_GRIEVANCE
cricket score,OUT_OF_SCOPE
asdfghjkl,OUT_OF_SCOPE
good morning bot,GREETING
hi bot,GREETING
okay thanks,THANKS
yep,CONFIRMATION
overflowing waste bin in sector 17,CIVIC_GRIEVANCE
nahi,DENIAL
water pipeline is leaking near saket,CIVIC_GRIEVANCE
haan,CONFIRMATION
proceed,CONFIRMATION
আমাদের এলাকায় জল আসছে না,CIVIC_GRIEVANCE
not correct,DENIAL
వీధి దీపం పనిచేయడం లేదు,CIVIC_GRIEVANCE
huge deep potholes on the main road in railway station road,CIVIC_GRIEVANCE
kachra 4 din se nahi uthaya gaya hai civil lines se,CIVIC_GRIEVANCE
the road near civil lines is completely broken and damaged,CIVIC_GRIEVANCE
the road near sector 17 is completely broken and damaged,CIVIC_GRIEVANCE
good evening,GREETING
helo,GREETING
hii,GREETING
i am fine,CASUAL_CONVERSATION
that's wrong,DENIAL
good afternoon,GREETING
my laptop is broken,OUT_OF_SCOPE
hey there,GREETING
